0.690909,0.9,0.216458,1.35664,['9.0/29', '56.0/59', '6.0/10', '2.0/9', '3.0/3']
0.645455,0.927273,0.208762,1.35811,['3.0/20', '59.0/62', '3.0/15', '2.0/8', '4.0/5']
0.7,0.909091,0.187891,1.35685,['16.0/23', '48.0/54', '4.0/19', '8.0/11', '1.0/3']
0.7,0.909091,0.191638,1.34073,['15.0/26', '60.0/66', '1.0/11', '0.0/4', '1.0/3']
0.709091,0.963636,0.182769,1.32548,['18.0/20', '52.0/63', '4.0/20', '3.0/5', '1.0/2']
0.636364,0.945454,0.202039,1.30404,['10.0/30', '57.0/63', '0.0/10', '1.0/4', '2.0/3']
0.754545,0.936364,0.171377,1.32371,['16.0/23', '56.0/62', '8.0/19', '1.0/4', '2.0/2']
0.7,0.945454,0.175538,1.33529,['20.0/26', '47.0/55', '2.0/16', '6.0/10', '2.0/3']
0.7,0.918182,0.192495,1.35255,['17.0/25', '55.0/65', '2.0/15', '2.0/3', '1.0/2']
0.790909,0.954545,0.181144,1.30289,['19.0/24', '61.0/66', '3.0/13', '2.0/5', '2.0/2']
0.727273,0.927273,0.167059,1.30253,['18.0/25', '54.0/63', '0.0/12', '6.0/8', '2.0/2']
0.772727,0.927273,0.188041,1.3419,['14.0/18', '59.0/72', '5.0/9', '3.0/6', '4.0/5']
0.754545,0.972727,0.168399,1.33559,['23.0/27', '47.0/61', '5.0/12', '5.0/6', '3.0/4']
0.7,0.9,0.196922,1.36197,['19.0/28', '45.0/56', '6.0/12', '5.0/9', '2.0/5']
0.8,0.972727,0.175076,1.30101,['28.0/34', '50.0/53', '5.0/12', '3.0/8', '2.0/3']
0.7,0.909091,0.199785,1.33249,['14.0/27', '51.0/55', '8.0/20', '3.0/6', '1.0/2']
0.754545,0.918182,0.187548,1.34181,['14.0/22', '65.0/68', '3.0/14', '1.0/5', '0.0/1']
0.727273,0.9,0.187744,1.3262,['25.0/30', '47.0/56', '2.0/16', '1.0/3', '5.0/5']
0.7,0.909091,0.179506,1.30264,['16.0/23', '54.0/62', '0.0/14', '4.0/7', '3.0/4']
0.736364,0.936364,0.176814,1.28893,['15.0/30', '57.0/58', '3.0/11', '5.0/10', '1.0/1']
0.754545,0.936364,0.163779,1.29891,['17.0/23', '58.0/68', '2.0/8', '2.0/6', '4.0/5']
0.736364,0.909091,0.170392,1.27691,['12.0/22', '64.0/64', '0.0/15', '4.0/7', '1.0/2']
0.8,0.972727,0.174646,1.30074,['25.0/30', '58.0/65', '1.0/11', '1.0/1', '3.0/3']
0.736364,0.981818,0.181243,1.3172,['15.0/23', '57.0/66', '5.0/13', '2.0/5', '2.0/3']
0.8,0.963636,0.173029,1.33816,['18.0/20', '61.0/72', '3.0/9', '4.0/7', '2.0/2']
0.727273,0.945454,0.178409,1.30278,['12.0/19', '60.0/63', '3.0/22', '2.0/2', '3.0/4']
0.8,0.963636,0.172134,1.30868,['18.0/18', '56.0/67', '7.0/14', '6.0/9', '1.0/2']
0.790909,0.963636,0.184835,1.31377,['16.0/27', '58.0/61', '4.0/10', '6.0/9', '3.0/3']
0.772727,0.890909,0.169692,1.3247,['20.0/22', '51.0/60', '4.0/16', '6.0/7', '4.0/5']
0.709091,0.890909,0.189448,1.35345,['15.0/17', '49.0/61', '3.0/18', '9.0/11', '2.0/3']
0.7,0.9,0.198438,1.32994,['13.0/27', '62.0/64', '1.0/12', '0.0/4', '1.0/3']
0.7,0.972727,0.202771,1.31769,['11.0/20', '60.0/64', '3.0/19', '2.0/5', '1.0/2']
0.681818,0.945454,0.189227,1.29085,['17.0/32', '57.0/60', '0.0/12', '1.0/3', '0.0/3']
0.681818,0.918182,0.179358,1.34192,['13.0/26', '53.0/60', '6.0/18', '1.0/4', '2.0/2']
0.7,0.972727,0.171673,1.32368,['19.0/30', '47.0/53', '4.0/16', '5.0/8', '2.0/3']
0.781818,0.954545,0.178098,1.31649,['22.0/27', '57.0/61', '2.0/16', '4.0/4', '1.0/2']
0.790909,0.945454,0.182959,1.3048,['17.0/22', '61.0/66', '6.0/15', '2.0/5', '1.0/2']
0.736364,0.954545,0.164679,1.31615,['17.0/25', '56.0/61', '1.0/14', '5.0/8', '2.0/2']
0.763636,0.936364,0.171593,1.31637,['12.0/21', '58.0/69', '6.0/11', '4.0/5', '4.0/4']
0.754545,0.963636,0.159244,1.31894,['22.0/27', '51.0/62', '4.0/10', '3.0/7', '3.0/4']
0.7,0.890909,0.200898,1.35172,['14.0/26', '51.0/55', '6.0/15', '3.0/9', '3.0/5']
0.754545,0.981818,0.170799,1.3046,['29.0/32', '47.0/55', '2.0/14', '3.0/6', '2.0/3']
0.681818,0.963636,0.196529,1.31973,['16.0/30', '50.0/53', '4.0/19', '4.0/6', '1.0/2']
0.754545,0.927273,0.183863,1.33087,['13.0/23', '68.0/69', '0.0/11', '2.0/6', '0.0/1']
0.772727,0.972727,0.17209,1.32444,['25.0/30', '51.0/55', '3.0/16', '1.0/4', '5.0/5']
0.645455,0.918182,0.175364,1.32064,['16.0/26', '45.0/57', '3.0/17', '4.0/6', '3.0/4']
0.763636,0.936364,0.180028,1.28343,['13.0/24', '62.0/63', '2.0/12', '6.0/10', '1.0/1']
0.754545,0.945454,0.162805,1.28541,['15.0/25', '58.0/64', '2.0/7', '3.0/7', '5.0/7']
0.763636,0.927273,0.172883,1.27186,['11.0/20', '66.0/67', '1.0/13', '5.0/7', '1.0/3']
0.818182,0.963636,0.184445,1.33752,['27.0/34', '55.0/62', '4.0/9', '1.0/1', '3.0/4']
0.781818,0.972727,0.179083,1.31217,['15.0/23', '62.0/68', '4.0/12', '3.0/4', '2.0/3']
0.718182,0.954545,0.18795,1.36221,['14.0/25', '54.0/70', '6.0/8', '4.0/5', '1.0/2']
0.727273,0.909091,0.17012,1.28917,['13.0/17', '57.0/64', '5.0/22', '2.0/2', '3.0/5']
0.809091,0.918182,0.170898,1.28773,['16.0/19', '61.0/63', '5.0/17', '6.0/9', '1.0/2']
0.681818,0.918182,0.210317,1.32373,['11.0/26', '59.0/60', '3.0/11', '0.0/10', '2.0/3']
0.763636,0.945454,0.166378,1.33136,['17.0/23', '54.0/59', '5.0/16', '3.0/7', '5.0/5']
0.727273,0.909091,0.176962,1.32157,['13.0/17', '54.0/60', '4.0/19', '8.0/11', '1.0/3']
0.736364,0.9,0.18708,1.32772,['23.0/26', '56.0/67', '1.0/10', '1.0/4', '0.0/3']
0.772727,0.945454,0.170329,1.29829,['14.0/18', '61.0/67', '6.0/18', '3.0/5', '1.0/2']
0.636364,0.936364,0.193725,1.30367,['9.0/32', '55.0/57', '2.0/13', '1.0/3', '3.0/5']
0.763636,0.927273,0.173054,1.30102,['17.0/24', '59.0/61', '5.0/19', '1.0/4', '2.0/2']
0.654545,0.954545,0.187121,1.30055,['13.0/25', '51.0/57', '1.0/16', '5.0/9', '2.0/3']
0.745455,0.936364,0.192029,1.32122,['15.0/27', '60.0/64', '3.0/14', '3.0/3', '1.0/2']
0.727273,0.954545,0.192146,1.32061,['19.0/25', '47.0/64', '11.0/14', '2.0/5', '1.0/2']
0.754545,0.963636,0.156402,1.29839,['17.0/26', '55.0/62', '3.0/12', '6.0/8', '2.0/2']
0.809091,0.945454,0.168984,1.32146,['15.0/22', '64.0/68', '5.0/10', '2.0/6', '3.0/4']
0.763636,0.945454,0.152343,1.30491,['22.0/28', '50.0/59', '4.0/12', '5.0/7', '3.0/4']
0.663636,0.909091,0.203648,1.34244,['10.0/26', '54.0/58', '3.0/12', '4.0/9', '2.0/5']
0.727273,0.972727,0.18569,1.29987,['27.0/34', '48.0/53', '2.0/13', '1.0/7', '2.0/3']
0.745455,0.918182,0.180564,1.32285,['17.0/24', '45.0/55', '15.0/21', '4.0/8', '1.0/2']
0.727273,0.945454,0.195557,1.31718,['10.0/22', '68.0/69', '0.0/12', '2.0/6', '0.0/1']
0.763636,0.954545,0.175719,1.32145,['23.0/28', '51.0/56', '5.0/16', '1.0/5', '4.0/5']
0.7,0.927273,0.173613,1.31237,['16.0/23', '51.0/59', '2.0/16', '5.0/8', '3.0/4']
0.772727,0.945454,0.177239,1.29119,['14.0/28', '62.0/64', '3.0/8', '5.0/9', '1.0/1']
0.781818,0.936364,0.15912,1.28785,['16.0/23', '61.0/68', '1.0/8', '3.0/5', '5.0/6']
0.745455,0.927273,0.177193,1.27842,['12.0/21', '63.0/65', '1.0/14', '5.0/7', '1.0/3']
0.754545,0.990909,0.1795,1.28827,['19.0/32', '60.0/65', '0.0/8', '1.0/1', '3.0/4']
0.754545,0.963636,0.168386,1.30105,['11.0/22', '61.0/65', '5.0/15', '3.0/5', '3.0/3']
0.790909,0.963636,0.163878,1.32398,['15.0/22', '62.0/72', '5.0/8', '4.0/6', '1.0/2']
0.754545,0.909091,0.169711,1.2932,['13.0/18', '61.0/67', '4.0/19', '2.0/2', '3.0/4']
0.690909,0.927273,0.178041,1.32743,['16.0/20', '45.0/60', '8.0/19', '6.0/9', '1.0/2']
0.790909,0.972727,0.171732,1.2925,['18.0/26', '55.0/59', '4.0/12', '7.0/10', '3.0/3']
0.781818,0.918182,0.170322,1.32853,['19.0/20', '48.0/61', '9.0/17', '5.0/7', '5.0/5']
